###############################################
Prominent emojis
###############################################


###############################################
POLY
###############################################
http://localhost/distance.php?index=poly

n	id	emoji	name	closeness
5	49	🔥	fire	0.59484
6	86	🇺🇲	flag: U.S. Outlying Islands	0.59216
7	13	😎	smiling face with sunglasses	0.58951
8	14	😷	face with medical mask	0.58914
9	68	🙏	folded hands	0.58801
10	38	👍	thumbs up	0.58614
11	57	💯	hundred points	0.58244
12	46	😅	grinning face with sweat	0.58134
13	136	😳	flushed face	0.57987
14	23	😡	pouting face	0.57915
15	244	🤡	clown face	0.57842
16	15	👀	eyes	0.57661
17	65	😁	beaming face with smiling eyes	0.57589
18	54	🙄	face with rolling eyes	0.57054
19	214	💪	flexed biceps	0.56949
20	12	💙	blue heart	0.56704
21	531	🇮🇳	flag: India	0.56669
22	8	😭	loudly crying face	0.56323
23	219	🎉	party popper	0.56288
24	218	👏	clapping hands	0.56220
25	216	💔	broken heart	0.56220
26	39	♥️	heart suit	0.56083
27	429	😇	smiling face with halo	0.55947
28	635	🗽	Statue of Liberty	0.55913
29	10	❤	red heart	0.55879
30	364	😆	grinning squinting face	0.55845
31	234	😢	crying face	0.55777
32	154	👇	backhand index pointing down	0.55710
33	111	💥	collision	0.55542
34	19	🤩	star-struck	0.55475
35	237	😜	winking face with tongue	0.55409
36	67	‼️	double exclamation mark	0.55375
37	137	🥴	woozy face	0.55309
38	453	🤦‍♂️	man facepalming	0.55210
39	349	✌️	victory hand	0.54946
40	144	👌	OK hand	0.54881
41	454	🤦🏽‍♀️	woman facepalming: medium skin tone	0.54686
42	55	🤗	hugging face	0.54653
43	501	🥂	clinking glasses	0.54589
44	76	🙏🏽	folded hands: medium skin tone	0.54524
45	445	🏛	classical building	0.54524
46	594	🌎	globe showing Americas	0.54492
47	35	👉	backhand index pointing right	0.54299
48	175	🙃	upside-down face	0.54267
49	17	✨	sparkles	0.54267
50	41	🦅	eagle	0.54267

###############################################
BREXIT
###############################################
http://localhost/distance.php?index=brexit

n	id	emoji	name	closeness
1	43	🇬🇧	flag: United Kingdom	0.82194
2	1314	🇪🇺	flag: European Union	0.80463
3	9	😂	face with tears of joy	0.74238
4	38	👍	thumbs up	0.72822
5	13	😎	smiling face with sunglasses	0.71173
6	22	🤔	thinking face	0.70888
7	11	❤️	red heart	0.70657
8	90	😉	winking face	0.70503
9	18	😊	smiling face with smiling eyes	0.70249
10	218	👏	clapping hands	0.70097
11	432	🙈	see-no-evil monkey	0.69821
12	65	😁	beaming face with smiling eyes	0.69771
13	29	🇺🇸	flag: United States	0.69721
14	54	🙄	face with rolling eyes	0.69696
15	136	😳	flushed face	0.69596
16	150	😱	face screaming in fear	0.69472
17	26	🤣	rolling on the floor laughing	0.69373
18	964	⚽	soccer ball	0.69299
19	68	🙏	folded hands	0.69176
20	49	🔥	fire	0.69152
21	219	🎉	party popper	0.69103
22	943	🇫🇷	flag: France	0.69029
23	144	👌	OK hand	0.68858
24	154	👇	backhand index pointing down	0.68495
25	350	😀	grinning face	0.68447
26	511	🌍	globe showing Europe-Africa	0.68423
27	15	👀	eyes	0.68399
28	237	😜	winking face with tongue	0.68064
29	364	😆	grinning squinting face	0.68041
30	1302	🇮🇪	flag: Ireland	0.68041
31	74	😍	smiling face with heart-eyes	0.67875
32	96	🍻	clinking beer mugs	0.67875
33	234	😢	crying face	0.67827
34	214	💪	flexed biceps	0.67804
35	8	😭	loudly crying face	0.67686
