############################################################
################ MySQL queries and results #################
############################################################

SELECT emo_emoji, emo_name, emp_count FROM emoji JOIN emoji_project ON emo_id=emp_emoid JOIN project ON emp_proid=pro_id WHERE pro_name='poly' ORDER BY emp_count DESC LIMIT 50;
+-----------+--------------------------------+-----------+
| emo_emoji | emo_name                       | emp_count |
SELECT emo_emoji, emo_name, emp_count FROM emoji JOIN emoji_project ON emo_id=emp_emoid JOIN project ON emp_proid=pro_id WHERE pro_name='ukrainewar' ORDER BY emp_count DESC LIMIT 50;
+-----------+-------------------------------+-----------+
| emo_emoji | emo_name                      | emp_count |
+-----------+-------------------------------+-----------+
| 🇺🇦        | flag: Ukraine                 |    795812 |
| 🇷🇺        | flag: Russia                  |    250664 |
| 🙏         | folded hands                  |    103957 |
| ⚡         | high voltage                  |     98068 |
| 👇         | backhand index pointing down  |     94693 |
| 💙         | blue heart                    |     79092 |
| 😂         | face with tears of joy        |     77231 |
| ❗         | red exclamation mark          |     73556 |
| 💛         | yellow heart                  |     71322 |
| 🔥         | fire                          |     67323 |
| 🤣         | rolling on the floor laughing |     66604 |
| 👉         | backhand index pointing right |     66282 |
| 🚨         | police car light              |     61734 |
| ❤️        | red heart                     |     59345 |
| 🔴         | red circle                    |     57074 |
| ‼️        | double exclamation mark       |     50205 |
| 🇺🇸        | flag: United States           |     48805 |
| 🤔         | thinking face                 |     44846 |
| 🇪🇺        | flag: European Union          |     42303 |
| ⬇️        | down arrow                    |     41747 |
| 💔         | broken heart                  |     38922 |
| 🌻         | sunflower                     |     35237 |
| 💥         | collision                     |     33689 |
| 🛑         | stop sign                     |     33299 |
| 😭         | loudly crying face            |     31583 |
| 👏         | clapping hands                |     31539 |
| 💪         | flexed biceps                 |     28867 |
| ➡️        | right arrow                   |     27152 |
| 👍         | thumbs up                     |     25265 |
| 👑         | crown                         |     23472 |
| 👹         | ogre                          |     23232 |
| 🇩🇪        | flag: Germany                 |     23024 |
| 🇬🇧        | flag: United Kingdom          |     22864 |
| ⚠️        | warning                       |     22355 |
| 🤬         | face with symbols on mouth    |     21845 |
| 😡         | pouting face                  |     21404 |
| 💀         | skull                         |     21021 |
| 🤡         | clown face                    |     20954 |
| 🙏🏻        | folded hands: light skin tone |     20013 |
| 🚀         | rocket                        |     19543 |
| 🕊         | dove                          |     19114 |
| ❤         | red heart                     |     17901 |
| 😢         | crying face                   |     16119 |
| 🇫🇷        | flag: France                  |     16019 |
| ✅         | check mark button             |     15994 |
| 🤮         | face vomiting                 |     15792 |
| 🙄         | face with rolling eyes        |     15473 |
| 👀         | eyes                          |     14956 |
| ✊         | raised fist                   |     14617 |
| 🇵🇱        | flag: Poland                  |     13874 |
+-----------+-------------------------------+-----------+
50 rows in set (0,047 sec)


SELECT emo_emoji, emo_name, emp_count FROM emoji JOIN emoji_project ON emo_id=emp_emoid JOIN project ON emp_proid=pro_id WHERE pro_name='brasil' ORDER BY emp_count DESC LIMIT 50;
+-----------+----------------------------------------+-----------+
| emo_emoji | emo_name                               | emp_count |
+-----------+----------------------------------------+-----------+
| 🇧🇷        | flag: Brazil                           |    193020 |
| 🤣         | rolling on the floor laughing          |    164534 |
| 😂         | face with tears of joy                 |    135343 |
| 👏         | clapping hands                         |     49001 |
| 🤡         | clown face                             |     47040 |
| 😭         | loudly crying face                     |     46813 |
| 🙏         | folded hands                           |     43786 |
| 🤮         | face vomiting                          |     32564 |
| 🤔         | thinking face                          |     31988 |
| ❤️        | red heart                              |     31042 |
| 🚨         | police car light                       |     27887 |
| 👇         | backhand index pointing down           |     25270 |
| 😡         | pouting face                           |     20694 |
| 🤬         | face with symbols on mouth             |     17402 |
| 💩         | pile of poo                            |     16409 |
| 😍         | smiling face with heart-eyes           |     14669 |
| 👍         | thumbs up                              |     13448 |
| 💚         | green heart                            |     13374 |
| 🔴         | red circle                             |     11736 |
| 🙄         | face with rolling eyes                 |     11482 |
| 👏🏻        | clapping hands: light skin tone        |     11475 |
| 👉         | backhand index pointing right          |     11258 |
| 🥰         | smiling face with hearts               |     11173 |
| 🔥         | fire                                   |     11137 |
| 😅         | grinning face with sweat               |     11063 |
| 💪         | flexed biceps                          |     10582 |
| 🙏🏻        | folded hands: light skin tone          |      9901 |
| 🙌         | raising hands                          |      9510 |
